"location";"source";"expert";"n_tv";"mean_tv";"sd_tv";"n_ms";"mean_ms";"sd_ms";"d_diff";"t";"df";"p.value";"yi";"vi";"sei"
"byui";"byui";1;28;1,89285714285714;2,22602188385372;31;2,68817204301075;1,98500953234201;0,377112120086943;1,44227553969307;54,4383991127444;0,154953582637992;0,373246931683317;0,0691529711796606;0,262969525191914
"cnj";"cnj";1;21;1,98412698412698;2,31054632903656;30;1,74444444444444;1,6601789437165;-0,119137323420416;-0,407417588834105;34,0048795728828;0,686254861349686;-0,120898415532677;0,0810956792551095;0,284773031123225
"occid";"occid";1;6;0,5;1,37840487520902;10;2,1;3,42124805759608;0,613460624892919;1,31202183481667;12,8372142537774;0,212490498352157;0,528071859938846;0,275381038206019;0,524767603998207
"pace";"pace_expert";1;16;2;2,21108319357027;16;2,20833333333333;2,16324516170258;0,0952470228150906;0,269399262881521;29,9856585337583;0,789467656039018;0,0928424525008963;0,125134683140412;0,353743810038299
"riverside";"riverside";1;3;1;0,881917103688197;3;2,33333333333333;1,52752523165195;1,0690449676497;1,30930734141595;3,2;0,276510415200328;0,852974474491693;0,727297121177865;0,852817167497152
"uwmadison";"uwmadison_expert";1;19;1,17543859649123;1,64942347223908;21;1,44444444444444;2,28116279640531;0,135143830318407;0,430211286584023;36,3178960445808;0,66958414724962;0,131376951541276;0,10046637535887;0,31696431243733
"vcu";"vcu";1;7;1,61904761904762;1,22366437283861;14;2,19047619047619;1,87978124620327;0,360290427997172;0,836809044261953;17,3585566394002;0,414072300101196;0,322627700547029;0,216764015075244;0,465579225347571
